config,waypoint_index,success,position_error,orientation_error_rad,position_bad,orientation_bad,target_x,target_y,target_z
pose_baseline_tcp_offset_0172,78,0,0.07685661,0.072941415,1,0,0.063412091,0.271721836,0.987741532
pose_baseline_tcp_offset_0172,79,0,0.075873639,0.08787152,1,0,0.063841916,0.269260168,0.993535718
pose_weight010_tcp_offset_0172,0,1,4.3737e-05,0.000996436,0,0,-0.200270285,-0.011069408,1.18252192
pose_weight010_tcp_offset_0172,1,1,0.000287925,0.004353173,0,0,-0.189888532,-0.012816252,1.188945374
pose_weight010_tcp_offset_0172,2,1,0.000609945,0.006684534,0,0,-0.174300289,-0.018425554,1.196555538
pose_weight010_tcp_offset_0172,3,1,0.000138695,0.003384325,0,0,-0.144757553,-0.031774679,1.211174706
pose_weight010_tcp_offset_0172,4,1,0.001325294,0.011571625,0,0,-0.12382369,-0.041186133,1.221650447
pose_weight010_tcp_offset_0172,5,1,0.001949238,0.016024363,0,0,-0.10244955,-0.050413239,1.231610489
pose_weight010_tcp_offset_0172,6,1,0.001770174,0.019505342,0,0,-0.069317396,-0.063455038,1.243489471
pose_weight010_tcp_offset_0172,7,1,0.001594389,0.02431876,0,0,-0.04670997,-0.070510163,1.248003617
pose_weight010_tcp_offset_0172,8,0,0.003056203,0.08417036,1,0,-0.012868649,-0.078707415,1.250610509
pose_weight010_tcp_offset_0172,9,0,0.005038744,0.140200736,1,1,0.009018573,-0.083493864,1.250389012
pose_weight010_tcp_offset_0172,10,0,0.006867663,0.191916211,1,1,0.028181822,-0.087495545,1.249661883
pose_weight010_tcp_offset_0172,11,0,0.009289767,0.259258354,1,1,0.051368655,-0.092234817,1.250001942
pose_weight010_tcp_offset_0172,12,0,0.010663618,0.296415059,1,1,0.066169877,-0.095778209,1.249041299
pose_weight010_tcp_offset_0172,13,0,0.012299419,0.335915368,1,1,0.087631023,-0.102173833,1.236271522
pose_weight010_tcp_offset_0172,14,0,0.013522405,0.352977779,1,1,0.100571103,-0.105611097,1.222485662
pose_weight010_tcp_offset_0172,15,0,0.0152737,0.36512682,1,1,0.108513777,-0.108872277,1.207163254
pose_weight010_tcp_offset_0172,16,0,0.015372618,0.382342162,1,1,0.10797745,-0.112388921,1.188192895
pose_weight010_tcp_offset_0172,17,0,0.010384502,0.420493187,1,1,0.102612524,-0.114548977,1.179106313
pose_weight010_tcp_offset_0172,18,0,0.011911327,0.434444858,1,1,0.092675347,-0.118264362,1.164563985
pose_weight010_tcp_offset_0172,19,0,0.011000461,0.411200704,1,1,0.085743668,-0.120688599,1.153297186
pose_weight010_tcp_offset_0172,20,0,0.011813441,0.38964978,1,1,0.078998508,-0.122132484,1.140615245
pose_weight010_tcp_offset_0172,21,0,0.011984999,0.372667074,1,1,0.066205292,-0.123390461,1.119328987
pose_weight010_tcp_offset_0172,22,0,0.010717816,0.296290631,1,1,0.055460364,-0.124032171,1.103328504
pose_weight010_tcp_offset_0172,23,0,0.007615532,0.212369451,1,1,0.043107781,-0.127824735,1.090901367
pose_weight010_tcp_offset_0172,24,0,0.00271062,0.163306957,1,1,0.037980105,-0.128200369,1.088401461
pose_weight010_tcp_offset_0172,25,0,0.002942422,0.082178843,1,0,0.036514038,-0.13024083,1.087748102
pose_weight010_tcp_offset_0172,26,1,0.000814242,0.022278117,0,0,0.036387152,-0.134969284,1.09231914
pose_weight010_tcp_offset_0172,27,1,0.000290035,0.008149635,0,0,0.039442809,-0.133073863,1.095374345
pose_weight010_tcp_offset_0172,28,1,0.000551712,0.014961326,0,0,0.044630469,-0.130339497,1.100814413
pose_weight010_tcp_offset_0172,29,0,0.00224764,0.06245753,1,0,0.05618462,-0.12625482,1.121348086
pose_weight010_tcp_offset_0172,30,0,0.003959128,0.109481545,1,1,0.067826018,-0.123482079,1.140954905
pose_weight010_tcp_offset_0172,31,0,0.006821139,0.187419953,1,1,0.081929643,-0.117018875,1.174236465
pose_weight010_tcp_offset_0172,32,0,0.008742918,0.237578826,1,1,0.088195739,-0.105556024,1.19861519
pose_weight010_tcp_offset_0172,33,0,0.010551742,0.282921615,1,1,0.093851226,-0.089288255,1.222116256
pose_weight010_tcp_offset_0172,34,0,0.012702756,0.337886078,1,1,0.09831699,-0.060172171,1.249058195
pose_weight010_tcp_offset_0172,35,0,0.013820517,0.36335526,1,1,0.099690839,-0.039685505,1.259013206
pose_weight010_tcp_offset_0172,36,0,0.014716713,0.391524593,1,1,0.101340046,-0.008749437,1.266436722
pose_weight010_tcp_offset_0172,37,0,0.015286374,0.40464654,1,1,0.102074488,0.012299014,1.268185273
pose_weight010_tcp_offset_0172,38,0,0.015852934,0.414735387,1,1,0.102462133,0.033768544,1.268803903
pose_weight010_tcp_offset_0172,39,0,0.016920271,0.422813221,1,1,0.103123091,0.066652556,1.265187301
pose_weight010_tcp_offset_0172,40,0,0.017962705,0.422924448,1,1,0.104139586,0.088210107,1.260413767
pose_weight010_tcp_offset_0172,41,0,0.018012029,0.422291913,1,1,0.105025313,0.120058814,1.250172864
pose_weight010_tcp_offset_0172,42,0,0.017919763,0.418701856,1,1,0.105630357,0.141795404,1.239736613
pose_weight010_tcp_offset_0172,43,0,0.017346642,0.413557662,1,1,0.107235982,0.162064408,1.225274303
pose_weight010_tcp_offset_0172,44,0,0.01702348,0.399447509,1,1,0.110456014,0.183758881,1.197439923
pose_weight010_tcp_offset_0172,45,0,0.01555842,0.391395515,1,1,0.113337537,0.192964122,1.176517952
pose_weight010_tcp_offset_0172,46,0,0.014562525,0.378401832,1,1,0.115649291,0.200403287,1.14636128
pose_weight010_tcp_offset_0172,47,0,0.014821227,0.37019359,1,1,0.114557453,0.203611583,1.12767254
pose_weight010_tcp_offset_0172,48,0,0.014728207,0.367894294,1,1,0.110410918,0.207130371,1.110629853
pose_weight010_tcp_offset_0172,49,0,0.014414611,0.35960703,1,1,0.10195982,0.213620445,1.086888178
pose_weight010_tcp_offset_0172,50,0,0.013613348,0.355735088,1,1,0.095693769,0.218147862,1.070834935
pose_weight010_tcp_offset_0172,51,0,0.013134118,0.344983386,1,1,0.085823453,0.22486931,1.045608592
pose_weight010_tcp_offset_0172,52,0,0.012683073,0.33510554,1,1,0.079014296,0.229085528,1.028127041
pose_weight010_tcp_offset_0172,53,0,0.012213897,0.321958934,1,1,0.074608455,0.231856638,1.011460617
pose_weight010_tcp_offset_0172,54,0,0.011416407,0.299502792,1,1,0.070724825,0.231132449,0.988596271
pose_weight010_tcp_offset_0172,55,0,0.010901093,0.285559162,1,1,0.06728352,0.228092733,0.976036359
pose_weight010_tcp_offset_0172,56,0,0.010381629,0.272701657,1,1,0.06321032,0.223195245,0.966153581
pose_weight010_tcp_offset_0172,57,0,0.009705251,0.252545106,1,1,0.051160212,0.219986917,0.954632933
pose_weight010_tcp_offset_0172,58,0,0.007910197,0.269616033,1,1,0.03983167,0.222259099,0.949632134
pose_weight010_tcp_offset_0172,59,0,0.007321208,0.199749122,1,1,0.023870109,0.231933511,0.944181884
pose_weight010_tcp_offset_0172,60,0,0.00610211,0.166814156,1,1,0.015321848,0.240379523,0.938369667
pose_weight010_tcp_offset_0172,61,0,0.004928886,0.134461101,1,1,0.012178162,0.246859443,0.932937515
pose_weight010_tcp_offset_0172,62,0,0.003882308,0.105335698,1,1,0.014014032,0.250006965,0.928144071
pose_weight010_tcp_offset_0172,63,0,0.003741451,0.101065833,1,1,0.017914107,0.250262294,0.927361131
pose_weight010_tcp_offset_0172,64,0,0.004311375,0.115496203,1,1,0.028264382,0.249543363,0.93240123
pose_weight010_tcp_offset_0172,65,0,0.005103531,0.136170019,1,1,0.035256699,0.249978727,0.941023287
pose_weight010_tcp_offset_0172,66,0,0.005999131,0.159635786,1,1,0.041088157,0.251529816,0.951161262
pose_weight010_tcp_offset_0172,67,0,0.007121328,0.188988316,1,1,0.046275355,0.25182388,0.957778404
pose_weight010_tcp_offset_0172,68,0,0.007701273,0.204347018,1,1,0.047700667,0.25182189,0.957957076
pose_weight010_tcp_offset_0172,69,0,0.008491609,0.22392223,1,1,0.053177598,0.246674471,0.95541762
pose_weight010_tcp_offset_0172,70,0,0.008924951,0.234513145,1,1,0.055853435,0.242899082,0.950716864
pose_weight010_tcp_offset_0172,71,0,0.009248654,0.241843123,1,1,0.05713878,0.240269508,0.944066423
pose_weight010_tcp_offset_0172,72,0,0.009640504,0.250638257,1,1,0.056583161,0.240753007,0.936476557
pose_weight010_tcp_offset_0172,73,0,0.009887972,0.256257277,1,1,0.054110749,0.245804754,0.934588799
pose_weight010_tcp_offset_0172,74,0,0.010392897,0.263079277,1,1,0.052421065,0.25854594,0.937752605
pose_weight010_tcp_offset_0172,75,0,0.010991556,0.270606007,1,1,0.054046953,0.264533458,0.946587866
pose_weight010_tcp_offset_0172,76,0,0.012035839,0.27750255,1,1,0.05736477,0.269232957,0.959077807
pose_weight010_tcp_offset_0172,77,0,0.013221826,0.289739556,1,1,0.062182537,0.271953858,0.977805206
pose_weight010_tcp_offset_0172,78,0,0.013442279,0.299234778,1,1,0.063412091,0.271721836,0.987741532
pose_weight010_tcp_offset_0172,79,0,0.013690557,0.306970141,1,1,0.063841916,0.269260168,0.993535718
pose_zero_tcp_diagnostic,0,1,5.805e-05,8.032e-06,0,0,-0.200270285,-0.011069408,1.18252192
